Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
386,A818512,2020-06-10T07:53:00.000,2020-06-10T07:53:00.000,2020-05-27T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair,Calico,
387,A818510,2020-06-10T07:53:00.000,2020-06-10T07:53:00.000,2020-05-27T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair,Tortie,
388,A815630,2020-06-10T06:59:00.000,2020-06-10T06:59:00.000,2014-05-28T00:00:00.000,Adoption,Foster,Dog,Spayed Female,6 years,Labrador Retriever Mix,Yellow,*Fern
389,A816293,2020-06-10T06:55:00.000,2020-06-10T06:55:00.000,2012-11-01T00:00:00.000,Adoption,Foster,Cat,Spayed Female,7 years,Domestic Shorthair,Calico,Star
390,A818078,2020-06-10T00:00:00.000,2020-06-10T00:00:00.000,2019-07-01T00:00:00.000,Transfer,Partner,Dog,Spayed Female,11 months,Great Dane/Catahoula,Brown/White,Harley
391,A817897,2020-06-09T21:47:00.000,2020-06-09T21:47:00.000,2018-05-28T00:00:00.000,Adoption,,Bird,Intact Male,2 years,Chicken,Fawn/Black,
392,A818277,2020-06-09T21:47:00.000,2020-06-09T21:47:00.000,2020-03-08T00:00:00.000,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black,*Figaro
393,A818041,2020-06-09T21:47:00.000,2020-06-09T21:47:00.000,2019-05-31T00:00:00.000,Adoption,,Bird,Intact Male,1 year,Chicken,White/Red,
394,A818118,2020-06-09T21:47:00.000,2020-06-09T21:47:00.000,2018-06-02T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Black/Gray,*Sheriff
395,A812549,2020-06-09T18:55:00.000,2020-06-09T18:55:00.000,2016-10-24T00:00:00.000,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White,Vega
396,A818149,2020-06-09T18:20:00.000,2020-06-09T18:20:00.000,2015-07-04T00:00:00.000,Adoption,,Dog,Spayed Female,4 years,Border Collie/German Shepherd,Black/Tan,Carmella
397,A817716,2020-06-09T18:13:00.000,2020-06-09T18:13:00.000,2018-05-24T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Dachshund,Black,*Nashville
398,A818252,2020-06-09T17:33:00.000,2020-06-09T17:33:00.000,2020-03-20T00:00:00.000,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White,
399,A818279,2020-06-09T16:43:00.000,2020-06-09T16:43:00.000,2020-03-08T00:00:00.000,Adoption,,Cat,Spayed Female,3 months,Siamese,Tortie Point/Seal Point,
400,A818278,2020-06-09T16:41:00.000,2020-06-09T16:41:00.000,2020-03-08T00:00:00.000,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby,
401,A818191,2020-06-09T16:35:00.000,2020-06-09T16:35:00.000,2020-02-03T00:00:00.000,Adoption,,Dog,Neutered Male,4 months,Plott Hound,Tricolor,
402,A812415,2020-06-09T14:47:00.000,2020-06-09T14:47:00.000,2019-02-22T00:00:00.000,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever,Brown Brindle,*Amelia
403,A749107,2020-06-09T14:09:00.000,2020-06-09T14:09:00.000,2017-02-14T00:00:00.000,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,Dewey
404,A818145,2020-06-09T14:09:00.000,2020-06-09T14:09:00.000,2009-06-02T00:00:00.000,Transfer,Partner,Dog,Spayed Female,11 years,Beagle,Brown,Tricky
405,A749109,2020-06-09T14:09:00.000,2020-06-09T14:09:00.000,2017-02-14T00:00:00.000,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,Yayo
406,A817500,2020-06-09T14:08:00.000,2020-06-09T14:08:00.000,2018-05-17T00:00:00.000,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,Luna
407,A798232,2020-06-09T14:08:00.000,2020-06-09T14:08:00.000,2019-05-01T00:00:00.000,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black,Shadow
408,A818144,2020-06-09T14:08:00.000,2020-06-09T14:08:00.000,2009-06-02T00:00:00.000,Transfer,Partner,Dog,Spayed Female,11 years,Beagle,Tricolor,Daisy
409,A817864,2020-06-09T14:07:00.000,2020-06-09T14:07:00.000,2010-05-27T00:00:00.000,Transfer,Partner,Cat,Spayed Female,10 years,Domestic Shorthair,Blue,*Smoked
410,A817164,2020-06-09T14:07:00.000,2020-06-09T14:07:00.000,2010-05-10T00:00:00.000,Transfer,Partner,Cat,Intact Female,10 years,Domestic Shorthair,Black/Brown,*Yzma
411,A818122,2020-06-09T14:06:00.000,2020-06-09T14:06:00.000,2009-06-02T00:00:00.000,Transfer,Partner,Cat,Neutered Male,11 years,Domestic Shorthair,Lynx Point,Buddy
412,A818018,2020-06-09T14:01:00.000,2020-06-09T14:01:00.000,2016-05-30T00:00:00.000,Adoption,,Dog,Neutered Male,4 years,Pit Bull/Chinese Sharpei,Brown/White,*Montgomery
413,A818419,2020-06-09T13:59:00.000,2020-06-09T13:59:00.000,2017-08-09T00:00:00.000,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever/German Shepherd,Black,Jack
414,A818460,2020-06-09T13:18:00.000,2020-06-09T13:18:00.000,2019-06-09T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Black,
415,A793396,2020-06-09T11:19:00.000,2020-06-09T11:19:00.000,2018-04-24T00:00:00.000,Return to Owner,,Dog,Intact Male,2 years,Staffordshire Mix,Blue/White,Piki
416,A818086,2020-06-09T09:12:00.000,2020-06-09T09:12:00.000,2020-05-01T00:00:00.000,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair,Calico,*Charlotte
417,A815957,2020-06-09T09:02:00.000,2020-06-09T09:02:00.000,2020-03-29T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,*Mutt
418,A804407,2020-06-09T08:54:00.000,2020-06-09T08:54:00.000,2015-09-14T00:00:00.000,Adoption,Foster,Dog,Neutered Male,4 years,Boxer Mix,Brown/White,Prince Chase
