Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
604,A810270,2020-05-30T15:50:00.000,2020-05-30T15:50:00.000,2019-10-10T00:00:00.000,Adoption,Foster,Cat,Spayed Female,7 months,Domestic Shorthair,Brown Tabby,*Allie Cat
605,A817613,2020-05-30T15:37:00.000,2020-05-30T15:37:00.000,2020-03-13T00:00:00.000,Transfer,Partner,Dog,Intact Female,2 months,Pit Bull,Black,
606,A811581,2020-05-30T13:43:00.000,2020-05-30T13:43:00.000,2019-06-06T00:00:00.000,Transfer,Partner,Dog,Neutered Male,11 months,Pit Bull,Blue/White,Cowboy
607,A816149,2020-05-30T13:25:00.000,2020-05-30T13:25:00.000,2020-02-23T00:00:00.000,Adoption,Foster,Dog,Spayed Female,3 months,Black Mouth Cur Mix,Red/White,*Stormie
608,A805538,2020-05-30T13:00:00.000,2020-05-30T13:00:00.000,2017-09-28T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Treeing Cur Mix,Tan,Brooklyn
609,A817956,2020-05-30T11:08:00.000,2020-05-30T11:08:00.000,2018-05-29T00:00:00.000,Return to Owner,,Dog,Intact Male,2 years,Labrador Retriever Mix,Tan,Brownie
610,A817631,2020-05-30T10:38:00.000,2020-05-30T10:38:00.000,2018-05-21T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 years,German Shepherd,Brown/Black,*Dill
611,A817992,2020-05-30T08:57:00.000,2020-05-30T08:57:00.000,2020-05-20T00:00:00.000,Disposal,,Cat,Intact Female,1 weeks,Domestic Shorthair,White/Black,
612,A817988,2020-05-30T08:56:00.000,2020-05-30T08:56:00.000,2020-05-10T00:00:00.000,Disposal,,Cat,Intact Female,2 weeks,Domestic Shorthair,White,
613,A817989,2020-05-30T08:56:00.000,2020-05-30T08:56:00.000,2020-03-01T00:00:00.000,Disposal,,Cat,Unknown,2 months,Domestic Shorthair,Blue,
614,A817986,2020-05-30T08:55:00.000,2020-05-30T08:55:00.000,2020-05-20T00:00:00.000,Disposal,,Cat,Intact Female,1 weeks,Domestic Shorthair,Orange,
615,A817987,2020-05-30T08:55:00.000,2020-05-30T08:55:00.000,2018-05-30T00:00:00.000,Disposal,,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby,
616,A817991,2020-05-30T08:54:00.000,2020-05-30T08:54:00.000,2020-03-30T00:00:00.000,Disposal,,Dog,Intact Male,1 month,Yorkshire Terrier Mix,Silver,
617,A817990,2020-05-30T08:54:00.000,2020-05-30T08:54:00.000,2018-05-30T00:00:00.000,Disposal,,Dog,Unknown,2 years,Chihuahua Shorthair,Tan,
618,A748019,2020-05-30T08:19:00.000,2020-05-30T08:19:00.000,2016-11-28T00:00:00.000,Adoption,Foster,Dog,Neutered Male,3 years,Black Mouth Cur Mix,Brown,Rambo
619,A817654,2020-05-29T15:47:00.000,2020-05-29T15:47:00.000,2018-05-22T00:00:00.000,Rto-Adopt,,Cat,Spayed Female,2 years,Domestic Shorthair,Black,Sombra
620,A817567,2020-05-29T14:40:00.000,2020-05-29T14:40:00.000,2019-11-19T00:00:00.000,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Black,*Boris
621,A817512,2020-05-29T14:38:00.000,2020-05-29T14:38:00.000,2018-05-18T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Pointer,White/Brown,*Poppy Seed
622,A817495,2020-05-29T14:37:00.000,2020-05-29T14:37:00.000,2019-05-17T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Pit Bull,Chocolate/White,*Mclovin
623,A817329,2020-05-29T14:11:00.000,2020-05-29T14:11:00.000,2014-05-13T00:00:00.000,Rto-Adopt,,Cat,Neutered Male,6 years,Manx,Orange Tabby,Malcolm
624,A817923,2020-05-29T13:59:00.000,2020-05-29T13:59:00.000,2017-05-29T00:00:00.000,Return to Owner,,Dog,Intact Female,3 years,Pit Bull,White,Ellie
625,A817925,2020-05-29T13:58:00.000,2020-05-29T13:58:00.000,2018-05-29T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,Blue,Blue
626,A817778,2020-05-29T11:10:00.000,2020-05-29T11:10:00.000,2014-05-26T00:00:00.000,Return to Owner,,Dog,Neutered Male,6 years,Labrador Retriever,Brown,Blue
627,A701495,2020-05-29T07:04:00.000,2020-05-29T07:04:00.000,2010-04-30T00:00:00.000,Adoption,Foster,Dog,Spayed Female,10 years,Pit Bull Mix,Blue/White,Bella
628,A817761,2020-05-28T15:14:00.000,2020-05-28T15:14:00.000,2018-05-25T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,American Staffordshire Terrier,Brown/White,Lou-Lou
629,A797542,2020-05-28T14:54:00.000,2020-05-28T14:54:00.000,2012-06-14T00:00:00.000,Adoption,Foster,Cat,Spayed Female,7 years,Domestic Shorthair,Tortie,Mei Mei
630,A815905,2020-05-28T14:51:00.000,2020-05-28T14:51:00.000,2016-03-29T00:00:00.000,Adoption,Foster,Dog,Spayed Female,4 years,American Pit Bull Terrier,Blue/White,Storm
631,A814608,2020-05-28T13:53:00.000,2020-05-28T13:53:00.000,2020-02-23T00:00:00.000,Adoption,Foster,Dog,Spayed Female,3 months,Catahoula Mix,Brown Merle,*Rosemary
632,A817894,2020-05-28T13:23:00.000,2020-05-28T13:23:00.000,2020-05-26T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair,Blue,
633,A816939,2020-05-28T11:36:00.000,2020-05-28T11:36:00.000,2013-05-03T00:00:00.000,Rto-Adopt,,Dog,Neutered Male,7 years,Australian Shepherd Mix,Brown Brindle/Black,Snuggles
634,A817687,2020-05-28T11:15:00.000,2020-05-28T11:15:00.000,2018-05-23T00:00:00.000,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Mix,Black/Brown,
635,A817686,2020-05-28T11:15:00.000,2020-05-28T11:15:00.000,2017-05-23T00:00:00.000,Transfer,Partner,Dog,Neutered Male,3 years,Yorkshire Terrier/Scottish Terrier,Gray/Black,
636,A817860,2020-05-28T11:14:00.000,2020-05-28T11:14:00.000,2020-04-05T00:00:00.000,Transfer,Partner,Cat,Intact Male,1 month,Domestic Longhair,Orange Tabby,
637,A815965,2020-05-28T10:17:00.000,2020-05-28T10:17:00.000,2016-04-01T00:00:00.000,Adoption,Foster,Dog,Spayed Female,4 years,Labrador Retriever,White,Bonchi
638,A779777,2020-05-27T17:20:00.000,2020-05-27T17:20:00.000,2016-09-05T00:00:00.000,Adoption,,Dog,Neutered Male,3 years,Beagle/Chihuahua Shorthair,Tricolor/Brown,*Miso
639,A811920,2020-05-27T16:56:00.000,2020-05-27T16:56:00.000,2015-01-12T00:00:00.000,Euthanasia,Behavior,Dog,Neutered Male,5 years,Pit Bull,Brown/White,Bud
640,A817858,2020-05-27T16:47:00.000,2020-05-27T16:47:00.000,2018-11-01T00:00:00.000,Return to Owner,,Dog,Intact Male,1 year,Australian Cattle Dog,Tricolor/Black,Ritchie
641,A810991,2020-05-27T16:37:00.000,2020-05-27T16:37:00.000,2018-06-26T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 year,Siamese Mix,Lynx Point,*Millie
642,A816762,2020-05-27T16:34:00.000,2020-05-27T16:34:00.000,2018-04-27T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,German Shepherd,Black/Tan,*Rolfe
643,A817417,2020-05-27T16:23:00.000,2020-05-27T16:23:00.000,2020-03-24T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 months,Beagle,Brown/White,
644,A817415,2020-05-27T16:06:00.000,2020-05-27T16:06:00.000,2020-03-24T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 months,Beagle,Brown/White,
645,A813708,2020-05-27T15:35:00.000,2020-05-27T15:35:00.000,2018-05-24T00:00:00.000,Return to Owner,,Dog,Neutered Male,2 years,Miniature Poodle,White,Louie
646,A817831,2020-05-27T14:32:00.000,2020-05-27T14:32:00.000,2018-05-27T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 years,Cairn Terrier,Black/Brown,
647,A817466,2020-05-27T14:25:00.000,2020-05-27T14:25:00.000,2016-05-16T00:00:00.000,Return to Owner,,Dog,Neutered Male,4 years,Pit Bull Mix,Blue/White,Coal
648,A817764,2020-05-27T13:05:00.000,2020-05-27T13:05:00.000,2020-04-10T00:00:00.000,Return to Owner,,Dog,Intact Male,1 month,Labrador Retriever/Pit Bull,Black/White,
649,A817763,2020-05-27T13:00:00.000,2020-05-27T13:00:00.000,2020-04-10T00:00:00.000,Return to Owner,,Dog,Intact Male,1 month,Labrador Retriever/Pit Bull,Tan/White,
650,A817765,2020-05-27T13:00:00.000,2020-05-27T13:00:00.000,2020-03-25T00:00:00.000,Return to Owner,,Dog,Intact Female,2 months,Boxer/Labrador Retriever,Brown/White,
651,A816349,2020-05-27T12:41:00.000,2020-05-27T12:41:00.000,2020-01-15T00:00:00.000,Adoption,Foster,Dog,Neutered Male,4 months,Dutch Shepherd Mix,Brown Brindle/White,*Woody
652,A814459,2020-05-27T12:35:00.000,2020-05-27T12:35:00.000,2019-03-01T00:00:00.000,Adoption,Foster,Dog,Spayed Female,1 year,Beagle Mix,Tricolor,*Ellie
653,A817406,2020-05-27T12:06:00.000,2020-05-27T12:06:00.000,2016-05-15T00:00:00.000,Return to Owner,,Dog,Spayed Female,4 years,Labrador Retriever/Pit Bull,Tan/White,Janice
654,A817504,2020-05-27T11:21:00.000,2020-05-27T11:21:00.000,2019-06-26T00:00:00.000,Return to Owner,,Cat,Spayed Female,11 months,Domestic Shorthair,Blue Tabby/White,Crowley
655,A817318,2020-05-27T11:20:00.000,2020-05-27T11:20:00.000,2019-05-13T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 year,Cocker Spaniel,White/Brown,Finton
656,A817319,2020-05-27T11:20:00.000,2020-05-27T11:20:00.000,2019-05-13T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 year,Cocker Spaniel,Liver/White,Keegan
657,A817321,2020-05-27T11:20:00.000,2020-05-27T11:20:00.000,2015-05-13T00:00:00.000,Transfer,Partner,Dog,Intact Female,5 years,Cocker Spaniel,White/Liver,Soleil
658,A817320,2020-05-27T11:20:00.000,2020-05-27T11:20:00.000,2019-05-13T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 year,Cocker Spaniel,White/Liver,Mckenn
659,A817847,2020-05-27T11:18:00.000,2020-05-27T11:18:00.000,2020-04-27T00:00:00.000,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue Tabby/White,
660,A810958,2020-05-27T11:12:00.000,2020-05-27T11:12:00.000,2010-12-23T00:00:00.000,Adoption,Foster,Dog,Spayed Female,9 years,Australian Shepherd/Great Pyrenees,Tricolor,Lily
661,A817751,2020-05-27T10:10:00.000,2020-05-27T10:10:00.000,2008-05-25T00:00:00.000,Return to Owner,,Dog,Neutered Male,12 years,Shih Tzu Mix,Cream,Mellow
662,A817791,2020-05-27T09:54:00.000,2020-05-27T09:54:00.000,2020-02-26T00:00:00.000,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Black,Sissy
663,A816384,2020-05-27T09:20:00.000,2020-05-27T09:20:00.000,2020-02-16T00:00:00.000,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever,White/Yellow,*Ace
664,A817868,2020-05-27T07:17:00.000,2020-05-27T07:17:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby/White,
665,A817865,2020-05-27T07:16:00.000,2020-05-27T07:16:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby,
666,A817866,2020-05-27T07:16:00.000,2020-05-27T07:16:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby,
667,A817867,2020-05-27T07:16:00.000,2020-05-27T07:16:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby,
668,A817853,2020-05-27T07:15:00.000,2020-05-27T07:15:00.000,2020-05-13T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Gray,
669,A816209,2020-05-27T07:05:00.000,2020-05-27T07:05:00.000,2020-02-24T00:00:00.000,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever,White,
670,A722024,2020-05-26T16:45:00.000,2020-05-26T16:45:00.000,2009-03-09T00:00:00.000,Return to Owner,,Dog,Spayed Female,11 years,Golden Retriever Mix,Gold,Cupcake
671,A804653,2020-05-26T16:00:00.000,2020-05-26T16:00:00.000,2019-01-16T00:00:00.000,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Longhair/Dachshund,Black/Tan,Lola
672,A817283,2020-05-26T15:59:00.000,2020-05-26T15:59:00.000,2019-03-12T00:00:00.000,Transfer,Partner,Dog,Spayed Female,1 year,Boxer/German Shepherd,Brown/White,Shelia
673,A814405,2020-05-26T15:49:00.000,2020-05-26T15:49:00.000,2020-02-28T00:00:00.000,Adoption,Foster,Dog,Intact Female,2 months,Labrador Retriever Mix,White/Black,
674,A817712,2020-05-26T15:08:00.000,2020-05-26T15:08:00.000,2018-05-24T00:00:00.000,Return to Owner,,Dog,Neutered Male,2 years,Cairn Terrier Mix,Tan/White,
675,A814134,2020-05-26T14:56:00.000,2020-05-26T14:56:00.000,2019-02-24T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Pit Bull,White/Black,C'Lo
676,A813989,2020-05-26T14:05:00.000,2020-05-26T14:05:00.000,2019-08-22T00:00:00.000,Adoption,Foster,Cat,Neutered Male,9 months,Domestic Shorthair,Black,*Grasshopper
677,A817650,2020-05-26T14:04:00.000,2020-05-26T14:04:00.000,2018-05-22T00:00:00.000,Euthanasia,Suffering,Dog,Spayed Female,2 years,Chihuahua Shorthair,Brown,
678,A813706,2020-05-26T13:59:00.000,2020-05-26T13:59:00.000,2019-02-16T00:00:00.000,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby,*Andy
679,A814960,2020-05-26T13:56:00.000,2020-05-26T13:56:00.000,2019-03-09T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie,*Mariah
680,A790785,2020-05-26T13:50:00.000,2020-05-26T13:50:00.000,2018-03-16T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown,*Bingo
681,A816574,2020-05-26T13:44:00.000,2020-05-26T13:44:00.000,2020-02-08T00:00:00.000,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White,*Bizzie
682,A793960,2020-05-26T13:35:00.000,2020-05-26T13:35:00.000,2018-05-02T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate,Chichon
683,A803957,2020-05-26T13:28:00.000,2020-05-26T13:28:00.000,2017-09-08T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Black/White,*Rudy
684,A816260,2020-05-26T13:22:00.000,2020-05-26T13:22:00.000,2019-05-12T00:00:00.000,Adoption,Foster,Dog,Spayed Female,1 year,Blue Lacy/Labrador Retriever,Blue/White,*Poppy
685,A791958,2020-05-26T12:52:00.000,2020-05-26T12:52:00.000,2018-04-03T00:00:00.000,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,Dirk
686,A763744,2020-05-26T12:41:00.000,2020-05-26T12:41:00.000,2016-12-15T00:00:00.000,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull,Red/White,Ben
687,A817755,2020-05-26T11:56:00.000,2020-05-26T11:56:00.000,2017-05-26T00:00:00.000,Return to Owner,,Dog,Spayed Female,3 years,Boxer/Pit Bull,Tan/White,Phobe
688,A817770,2020-05-26T11:37:00.000,2020-05-26T11:37:00.000,2020-03-26T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull,Blue,Smokey
689,A816841,2020-05-26T07:33:00.000,2020-05-26T07:33:00.000,2019-04-29T00:00:00.000,Adoption,Foster,Other,Intact Female,1 year,Rabbit Lh,Brown/Black,*Ewok
690,A817752,2020-05-25T08:48:00.000,2020-05-25T08:48:00.000,2020-05-18T00:00:00.000,Euthanasia,Suffering,Bird,Unknown,1 week,Grackle,Black,
691,A815280,2020-05-24T17:19:00.000,2020-05-24T17:19:00.000,2020-03-06T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,*Ginger Boy
692,A815279,2020-05-24T17:19:00.000,2020-05-24T17:19:00.000,2020-03-06T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,*Betty
693,A816847,2020-05-24T16:52:00.000,2020-05-24T16:52:00.000,2019-08-30T00:00:00.000,Adoption,,Dog,Spayed Female,8 months,Pit Bull,White/Brown,*Mayo
694,A797767,2020-05-24T16:41:00.000,2020-05-24T16:41:00.000,2018-06-17T00:00:00.000,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown/Black,Canello
695,A813996,2020-05-24T16:31:00.000,2020-05-24T16:31:00.000,2018-02-22T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Tan/White,*Mitch
696,A722987,2020-05-24T16:30:00.000,2020-05-24T16:30:00.000,2014-09-24T00:00:00.000,Adoption,,Dog,Spayed Female,5 years,Pit Bull,White/Black,Snow
697,A763300,2020-05-24T15:42:00.000,2020-05-24T15:42:00.000,2016-12-07T00:00:00.000,Return to Owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White,Piggie
698,A817736,2020-05-24T15:40:00.000,2020-05-24T15:40:00.000,2018-05-24T00:00:00.000,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Brown/Brown Brindle,
699,A817731,2020-05-24T14:44:00.000,2020-05-24T14:44:00.000,2020-05-19T00:00:00.000,Transfer,Partner,Cat,Intact Male,5 days,Domestic Shorthair,White/Brown Tabby,
700,A783589,2020-05-24T14:36:00.000,2020-05-24T14:36:00.000,2016-11-02T00:00:00.000,Return to Owner,,Dog,Intact Male,3 years,German Shepherd,Black/Tan,Benjamin
701,A817710,2020-05-24T14:30:00.000,2020-05-24T14:30:00.000,2020-03-24T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull,Blue/White,
702,A817682,2020-05-24T13:13:00.000,2020-05-24T13:13:00.000,2020-03-12T00:00:00.000,Return to Owner,,Dog,Intact Male,2 months,German Shepherd,Black/Brown,Koda
703,A799458,2020-05-24T12:13:00.000,2020-05-24T12:13:00.000,2019-05-08T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Pit Bull,Blue/White,Zilan
704,A816399,2020-05-24T11:55:00.000,2020-05-24T11:55:00.000,2019-11-16T00:00:00.000,Return to Owner,,Dog,Intact Male,6 months,Pit Bull Mix,Black Brindle,Kratos
705,A817713,2020-05-24T11:54:00.000,2020-05-24T11:54:00.000,2019-11-24T00:00:00.000,Return to Owner,,Dog,Intact Female,5 months,Pit Bull,Blue/White,Chanel
706,A817426,2020-05-24T11:48:00.000,2020-05-24T11:48:00.000,2018-11-17T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,1 year,Snowshoe,Seal Point,Simon
707,A817543,2020-05-24T09:09:00.000,2020-05-24T09:09:00.000,2018-05-18T00:00:00.000,Euthanasia,,Other,Unknown,2 years,Opossum,White/Gray,
708,A817493,2020-05-24T09:09:00.000,2020-05-24T09:09:00.000,2018-05-17T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Brown/Black,
709,A817693,2020-05-24T09:08:00.000,2020-05-24T09:08:00.000,2019-05-23T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon,Black/Gray,
710,A817708,2020-05-24T09:06:00.000,2020-05-24T09:06:00.000,2019-05-24T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,
711,A817709,2020-05-24T07:44:00.000,2020-05-24T07:44:00.000,2019-05-24T00:00:00.000,Died,At Vet,Other,Unknown,1 year,Otter,Brown,
712,A817397,2020-05-23T16:53:00.000,2020-05-23T16:53:00.000,2019-11-19T00:00:00.000,Transfer,Partner,Dog,Intact Male,6 months,Dachshund Mix,Blue Merle,
713,A814198,2020-05-23T16:06:00.000,2020-05-23T16:06:00.000,2010-05-05T00:00:00.000,Return to Owner,,Cat,Neutered Male,10 years,Domestic Medium Hair,Black/White,Old Granddad
714,A817573,2020-05-23T12:00:00.000,2020-05-23T12:00:00.000,2020-03-07T00:00:00.000,Transfer,Partner,Dog,Intact Female,2 months,Great Pyrenees,White/Brown,
715,A817667,2020-05-23T09:59:00.000,2020-05-23T09:59:00.000,2018-05-22T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 years,Cairn Terrier/Miniature Poodle,Black/Brown,
716,A817669,2020-05-23T08:53:00.000,2020-05-23T08:53:00.000,2020-05-08T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange,
717,A817672,2020-05-22T18:11:00.000,2020-05-22T18:11:00.000,2003-05-22T00:00:00.000,Return to Owner,,Cat,Intact Female,17 years,Domestic Shorthair,Brown Tabby,Makita
718,A816807,2020-05-22T16:40:00.000,2020-05-22T16:40:00.000,2020-03-04T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White,
719,A785939,2020-05-22T16:04:00.000,2020-05-22T16:04:00.000,2014-08-13T00:00:00.000,Return to Owner,,Dog,Neutered Male,5 years,Mastiff Mix,Chocolate/White,Brixton
720,A817610,2020-05-22T15:40:00.000,2020-05-22T15:40:00.000,2020-03-20T00:00:00.000,Transfer,Partner,Dog,Intact Female,2 months,Australian Shepherd/Australian Cattle Dog,White/Fawn,Riley
721,A816340,2020-05-22T13:24:00.000,2020-05-22T13:24:00.000,2020-03-03T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever/Australian Cattle Dog,Black/Brown,*Bones
722,A816339,2020-05-22T13:20:00.000,2020-05-22T13:20:00.000,2020-03-03T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Australian Cattle Dog,Brown/White,*Boots
723,A746081,2020-05-22T11:20:00.000,2020-05-22T11:20:00.000,2017-02-13T00:00:00.000,Adoption,,Dog,Neutered Male,3 years,German Shepherd,Brown/Black,Canelo
724,A814974,2020-05-22T10:42:00.000,2020-05-22T10:42:00.000,2019-10-09T00:00:00.000,Adoption,Foster,Dog,Neutered Male,7 months,Chihuahua Shorthair Mix,White/Black,*Sprite
725,A817640,2020-05-22T09:52:00.000,2020-05-22T09:52:00.000,2018-05-21T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,
726,A810011,2020-05-22T09:42:00.000,2020-05-22T09:42:00.000,2016-12-05T00:00:00.000,Adoption,Foster,Cat,Neutered Male,3 years,Domestic Shorthair,Black,*Kenny
727,A816470,2020-05-22T08:52:00.000,2020-05-22T08:52:00.000,2018-04-18T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Medium Hair,Black,*Black Mamba
728,A812964,2020-05-22T07:14:00.000,2020-05-22T07:14:00.000,2019-02-01T00:00:00.000,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White,*Duffy
729,A817084,2020-05-21T15:57:00.000,2020-05-21T15:57:00.000,2012-12-30T00:00:00.000,Rto-Adopt,,Cat,Neutered Male,7 years,Domestic Shorthair,Brown Tabby,Berry
730,A816999,2020-05-21T15:44:00.000,2020-05-21T15:44:00.000,2018-05-05T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 years,Dachshund/Chihuahua Shorthair,Tricolor,*Trooper
731,A817611,2020-05-21T14:14:00.000,2020-05-21T14:14:00.000,2019-05-20T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black,
732,A817589,2020-05-21T14:13:00.000,2020-05-21T14:13:00.000,2018-05-20T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair,Black,
733,A817620,2020-05-21T12:02:00.000,2020-05-21T12:02:00.000,2020-04-28T00:00:00.000,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black/White,
734,A802644,2020-05-21T11:49:00.000,2020-05-21T11:49:00.000,2018-08-20T00:00:00.000,Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog,White/Brown,Dax
735,A814195,2020-05-21T11:41:00.000,2020-05-21T11:41:00.000,2018-02-25T00:00:00.000,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/Gray,*Germanium
736,A817607,2020-05-21T11:30:00.000,2020-05-21T11:30:00.000,2013-05-20T00:00:00.000,Euthanasia,Suffering,Cat,Spayed Female,7 years,Domestic Longhair,Brown Tabby,
737,A815989,2020-05-21T10:48:00.000,2020-05-21T10:48:00.000,2020-01-02T00:00:00.000,Adoption,Foster,Bird,Unknown,4 months,Parakeet,Blue/Gray,*Waffles
738,A816693,2020-05-21T10:41:00.000,2020-05-21T10:41:00.000,2019-10-25T00:00:00.000,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair,Black,*Stella
739,A817136,2020-05-21T10:07:00.000,2020-05-21T10:07:00.000,2019-05-08T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Medium Hair,White/Black,*Skunk
740,A776949,2020-05-21T08:54:00.000,2020-05-21T08:54:00.000,2006-07-21T00:00:00.000,Adoption,Foster,Cat,Neutered Male,13 years,Domestic Shorthair Mix,Black,Twitch
741,A780987,2020-05-21T07:27:00.000,2020-05-21T07:27:00.000,2018-07-31T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Longhair Mix,Blue Tabby,Little
742,A817443,2020-05-20T19:05:00.000,2020-05-20T19:05:00.000,2018-05-16T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair,Orange,
743,A817603,2020-05-20T17:10:00.000,2020-05-20T17:10:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Flame Point,
744,A817604,2020-05-20T17:10:00.000,2020-05-20T17:10:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Cream Tabby,
745,A817606,2020-05-20T17:10:00.000,2020-05-20T17:10:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie,
746,A817602,2020-05-20T17:09:00.000,2020-05-20T17:09:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Flame Point,
747,A817601,2020-05-20T17:09:00.000,2020-05-20T17:09:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Flame Point,
748,A817600,2020-05-20T17:08:00.000,2020-05-20T17:08:00.000,2019-05-20T00:00:00.000,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Lynx Point,Snowflake
749,A817605,2020-05-20T17:00:00.000,2020-05-20T17:00:00.000,2020-05-05T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Orange Tabby,
750,A817267,2020-05-20T16:03:00.000,2020-05-20T16:03:00.000,2019-05-12T00:00:00.000,Return to Owner,,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie,Lulu
